User Name_asset00000,Device Type,_HomeCenter,IP Address,OS,Last Report Time,User Name
ssmith1_asset00001,Server,AFRC,130.134.19.1,Win7 6.1.7601,2/27/18 12:37,ssmith1
ssmith2_asset00002,Laptop,ARC,130.134.19.2,Win10 10.0.14393.2068 (1607),3/1/18 12:24,ssmith2
ssmith3_asset00003,Laptop,ARC,130.134.19.3,Win10 10.0.14393.2068 (1607),2/28/18 15:54,ssmith3
ssmith4_asset00004,Laptop,ARC,130.134.19.4,Win7 6.1.7601,3/1/18 12:27,ssmith4
ssmith5_asset00005,Laptop,ARC,130.134.19.5,Win10 10.0.14393.2068 (1607),3/1/18 10:20,ssmith5
ssmith6_asset00006,Laptop,ARC,130.134.19.6,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith6
ssmith7_asset00007,Laptop,ARC,130.134.19.7,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith7
ssmith8_asset00008,Laptop,ARC,130.134.19.8,Win7 6.1.7601,3/1/18 12:27,ssmith8
ssmith9_asset00009,Laptop,ARC,130.134.19.9,Win10 10.0.14393.2068 (1607),3/1/18 12:23,ssmith9
ssmith10_asset00010,Laptop,GRC,130.134.19.10,Win10 10.0.14393.2068 (1607),3/1/18 10:48,ssmith10
ssmith11_asset00011,Laptop,GRC,130.134.19.11,Win10 10.0.14393.2068 (1607),3/1/18 12:22,ssmith11
ssmith12_asset00012,Laptop,GRC,130.134.19.12,Win10 10.0.14393.2068 (1607),2/27/18 13:14,ssmith12
ssmith13_asset00013,Laptop,GRC,130.134.19.13,Win10 10.0.14393.2007 (1607),3/1/18 12:22,ssmith13
ssmith14_asset00014,Laptop,GRC,130.134.19.14,Win10 10.0.14393.2068 (1607),3/1/18 12:23,ssmith14
ssmith15_asset00015,Laptop,GRC,130.134.19.15,Win10 10.0.14393.2068 (1607),3/1/18 12:23,ssmith15
ssmith16_asset00016,Laptop,GSFC,130.134.19.16,Win10 10.0.14393.2068 (1607),3/1/18 12:23,ssmith16
ssmith17_asset00017,Laptop,GSFC,130.134.19.17,Win10 10.0.14393.2068 (1607),3/1/18 12:25,ssmith17
ssmith18_asset00018,Laptop,GSFC,130.134.19.18,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith18
ssmith19_asset00019,Laptop,GSFC,130.134.19.19,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith19
ssmith20_asset00020,Laptop,GSFC,130.134.19.20,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith20
ssmith21_asset00021,Laptop,HQ,130.134.19.21,Win10 10.0.14393.2068 (1607),2/28/18 20:09,ssmith21
ssmith22_asset00022,Laptop,HQ,130.134.19.22,Win10 10.0.14393.2068 (1607),3/1/18 12:24,ssmith22
ssmith23_asset00023,Laptop,HQ,130.134.19.23,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith23
ssmith24_asset00024,Laptop,HQ,130.134.19.24,Win10 10.0.10586.1417 (1511),3/1/18 12:25,ssmith24
ssmith25_asset00025,Laptop,HQ,130.134.19.25,Win10 10.0.14393.2007 (1607),3/1/18 12:22,ssmith25
ssmith26_asset00026,Laptop,HQ,130.134.19.26,Win10 10.0.14393.2007 (1607),3/1/18 12:22,ssmith26
ssmith27_asset00027,Laptop,HQ,130.134.19.27,Win10 10.0.10586.1417 (1511),3/1/18 12:28,ssmith27
ssmith28_asset00028,Laptop,HQ,130.134.19.28,Win10 10.0.10586.1417 (1511),3/1/18 12:23,ssmith28
