duration,local_orig,ts,IP Address,uid,id_orig_port,id_resp_host,id_resp_port,orig_ip_bytes,local_resp,orig_mac,orig_bytes,resp_ip_bytes,resp_mac,proto,missed_bytes,service,orig_pkts,history,resp_bytes,conn_state,resp_pkts,resp_geoip.timezone,resp_geoip.area_code,resp_geoip.continent_code,resp_geoip.real_region_name,resp_geoip.ip,resp_geoip.country_name,resp_geoip.latitude,resp_geoip.country_code2,resp_geoip.longitude,resp_geoip.dma_code,resp_geoip.city_name,resp_geoip.country_code3,resp_geoip.postal_code
0,F,1478027751,173.213.64.0,CnviGa18IdnMThj7md,5228,10.0.0.3,38246,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478046925,104.238.192.0,C39Cr26ZQ2nP6gUGi,5228,10.0.0.3,40404,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478048258,178.217.184.0,CbmhWA1hiADJgliLBl,5228,10.0.0.3,47817,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478106122,208.80.180.0,CLlKv53nPneyStuAm,5228,10.0.0.3,47440,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478026300,122.49.64.0,CU47991pxPE9YkRnyc,5228,10.0.0.3,47456,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478046311,108.177.128.0,CyGebr18fPm0J5xGNc,5228,10.0.0.3,41161,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478047841,178.18.128.0,C5AyHh2VwWmsSTxqL8,5228,10.0.0.3,42521,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478048942,37.220.3.48,CA4wWz3dIv18757C82,5228,10.0.0.3,48418,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478050403,207.68.174.24,CBTPS33DYHyGyvqRig,5228,10.0.0.3,37994,73,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,tcp,0,NA,1,R,0,RSTOS0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478022641,130.134.19.108,CNNVYx4IIeobrGUhh7,38593,199.187.193.1,80,0,F,08:bd:43:8a:7d:59,0,40,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,America/Montreal,NA,NA,Quebec,199.187.193.1,Canada,45.5,CA,-73.5833,NA,Montreal,CAN,QC
0,T,1478024141,130.134.19.95,CEDCjTAGieOKniKbk,44578,64.86.202.89,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,America/Montreal,NA,NA,Quebec,64.86.202.89,Canada,45.5,CA,-73.5833,NA,Montreal,CAN,QC
0,T,1478024133,130.134.19.119,CF39pL3qt3icGmopk8,39923,64.86.202.11,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,America/Montreal,NA,NA,Quebec,64.86.202.11,Canada,45.5,CA,-73.5833,NA,Montreal,CAN,QC
0,T,1478024157,130.134.19.49,CJRfgZUohFI83oyad,44578,64.86.202.89,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,America/Montreal,NA,NA,Quebec,64.86.202.89,Canada,45.5,CA,-73.5833,NA,Montreal,CAN,QC
0,T,1478193190,130.134.19.93,CylMhi3eycPdhEIE11,35777,91.215.103.66,443,40,F,10:a5:d0:4b:03:94,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,R,0,RSTOS0,0,Europe/Berlin,NA,EU,NA,91.215.103.66,Germany,51,DE,9,NA,NA,DEU,NA
0,T,1478193212,130.134.19.47,CsVeho28Vu3H6QcVD7,44499,91.215.100.47,443,107,F,9c:d9:17:40:bf:f8,27,0,08:bd:43:8a:7d:59,tcp,0,NA,2,DR,0,RSTOS0,0,Europe/Berlin,NA,EU,NA,91.215.100.47,Germany,51,DE,9,NA,NA,DEU,NA
0,T,1478127851,130.134.19.96,CBzZZZ2qDEUqGzy7ka,46739,31.13.65.34,443,0,F,08:bd:43:8a:7d:59,0,83,9c:d9:17:40:bf:f8,tcp,0,NA,0,f,0,SHR,1,Europe/Dublin,NA,EU,NA,31.13.65.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478190897,130.134.19.141,CyBDkj7mpDLjDOmoh,39642,31.13.65.34,443,0,F,08:bd:43:8a:7d:59,0,83,9c:d9:17:40:bf:f8,tcp,0,NA,0,f,0,SHR,1,Europe/Dublin,NA,EU,NA,31.13.65.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478049498,130.134.19.79,CtJGvx2FU8YICWc1Y6,48982,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,83,9c:d9:17:40:bf:f8,tcp,0,NA,0,f,0,SHR,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478127858,130.134.19.70,CAwuXN17zKS8Ru00Tf,49823,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,83,9c:d9:17:40:bf:f8,tcp,0,NA,0,f,0,SHR,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478022926,130.134.19.123,Cr4rKq3wYyN0SXEs32,38150,31.13.71.34,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.71.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478027270,130.134.19.15,CK67qm3t3q1ppVPHk1,48296,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478029863,130.134.19.37,CJyQJF1P7hm6tkvD3b,48301,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478042672,130.134.19.40,CAzE3d2rJViKayPFX5,47302,31.13.65.34,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478127360,130.134.19.142,C2z2uM2w5IsPn3u4z6,47853,31.13.65.34,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478025128,130.134.19.2,CoqrtVGzF0bfffQc,48395,31.13.65.34,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478040869,130.134.19.21,Ce5xti4mX4QLMdVxd4,48475,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478042672,130.134.19.102,CaB6nt8XBwmbwAhGg,48482,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478050533,130.134.19.96,CJbSAw46RWbm82f7S7,41906,31.13.71.34,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.71.34,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478113428,130.134.19.122,CTLqil2LGechNmfm9i,49768,31.13.65.3,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,Europe/Dublin,NA,EU,NA,31.13.65.3,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478184698,130.134.19.99,C6Lpbt4JZGVPyqjR54,41318,31.13.65.1,443,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,Europe/Dublin,NA,EU,NA,31.13.65.1,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478099954,130.134.19.47,CkJMOdC1UgRyVe7Y1,58534,31.13.65.1,443,52,F,10:a5:d0:4b:03:94,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,R,0,RSTOS0,0,Europe/Dublin,NA,EU,NA,31.13.65.1,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478101606,130.134.19.19,C7ywU42h3lvcAdgXYi,39217,31.13.65.1,443,52,F,10:a5:d0:4b:03:94,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,R,0,RSTOS0,0,Europe/Dublin,NA,EU,NA,31.13.65.1,Ireland,53,IE,-8,NA,NA,IRL,NA
0,T,1478050080,130.134.19.90,CPMpXk2Jd6MN1PgZ8h,43783,23.216.55.26,80,0,F,08:bd:43:8a:7d:59,0,52,9c:d9:17:40:bf:f8,tcp,0,NA,0,f,0,SHR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478194543,130.134.19.91,Ci7qwg4FQSauf3HTMk,33223,104.67.193.158,443,0,F,08:bd:43:8a:7d:59,0,83,10:a5:d0:4b:03:94,tcp,0,NA,0,f,0,SHR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478050700,130.134.19.84,CKuMxf2V6CKCLH9uRd,38153,104.130.21.36,443,0,F,08:bd:43:8a:7d:59,0,73,9c:d9:17:40:bf:f8,tcp,0,NA,0,r,0,RSTRH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478026175,130.134.19.17,CeJTpv2McWDliW4283,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478027461,130.134.19.71,Cd0MaZuZImp88sNad,3,10.0.0.3,3,95,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
